met type,date,mean/sum,min,max,%complete,comments
Air Temperature,05/11/2010,14,10.11,14.66,100,
Air Temperature,06/11/2010,8.27,5.03,11.14,100,
Air Temperature,07/11/2010,5.01,3.68,7.32,100,
Air Temperature,08/11/2010,6.32,4.1,9.36,100,
Air Temperature,09/11/2010,6.35,4.46,8.13,100,
Air Temperature,10/11/2010,3.7,1.05,6.84,100,
Air Temperature,11/11/2010,9.4,2.12,13.6,100,
Air Temperature,12/11/2010,10.71,9.27,12.97,100,
Air Temperature,13/11/2010,8.62,6.66,11.56,100,
Air Temperature,14/11/2010,5.95,3.7,8.64,100,
Air Temperature,15/11/2010,4.02,1.79,7.76,100,
Air Temperature,16/11/2010,4.79,0.04,8.36,100,
Air Temperature,17/11/2010,6.39,5.01,8.11,100,
Air Temperature,18/11/2010,7.1,5.45,9.56,100,
Air Temperature,19/11/2010,6.61,3.76,9.74,100,
Air Temperature,20/11/2010,6.19,4.17,6.93,100,
Air Temperature,21/11/2010,5.2,4.04,6.42,100,
Air Temperature,22/11/2010,5.26,4.49,7.12,100,
Air Temperature,23/11/2010,4.57,2.31,6.61,100,
Air Temperature,24/11/2010,1.97,-0.01,4.61,100,
Air Temperature,25/11/2010,0.12,-0.83,0.95,100,
Air Temperature,26/11/2010,-0.62,-2.62,2.37,100,
Air Temperature,27/11/2010,-1.45,-2.89,-0.05,100,
Air Temperature,28/11/2010,-3.06,-4.98,-0.96,100,
Air Temperature,29/11/2010,-1.63,-3.66,-0.36,100,
Air Temperature,30/11/2010,-0.61,-1.51,0.16,100,
Air Temperature,01/12/2010,-2.14,-2.82,-1.52,100,
Air Temperature,02/12/2010,-3.49,-4.64,-2.31,100,
Air Temperature,03/12/2010,-3.93,-6.25,2.6,100,
Air Temperature,04/12/2010,3.76,2.29,5.03,100,
Air Temperature,05/12/2010,0.68,-1.45,3.87,100,
Air Temperature,06/12/2010,-2.61,-3.29,-0.58,100,
Air Temperature,07/12/2010,-1.9,-3.22,-0.22,100,
Air Temperature,08/12/2010,-1.03,-2.68,0.65,100,
Air Temperature,09/12/2010,0.47,-2.96,3.15,100,
Air Temperature,10/12/2010,3.73,1.81,5.13,100,
Air Temperature,11/12/2010,4.76,3.47,6.09,100,
Air Temperature,12/12/2010,3.24,0.07,5.59,100,
Air Temperature,13/12/2010,0.52,-0.95,1.96,100,
Air Temperature,14/12/2010,2.17,-0.42,3.89,100,
Air Temperature,15/12/2010,1.63,-0.33,3.97,100,
Air Temperature,16/12/2010,2.88,-2.8,6.31,100,
Air Temperature,17/12/2010,-2.77,-5.26,-0.4,100,
Air Temperature,18/12/2010,-2.72,-6.46,-0.51,100,
Air Temperature,19/12/2010,-2.65,-5.73,-1.28,100,
Air Temperature,20/12/2010,-2.67,-6.32,0.22,100,
Air Temperature,21/12/2010,-0.03,-0.32,0.4,100,
Air Temperature,22/12/2010,-0.46,-1.73,0.03,100,
Air Temperature,23/12/2010,-0.65,-2.8,0.93,100,
Air Temperature,24/12/2010,-1.02,-2.9,0.21,100,
Air Temperature,25/12/2010,-2.76,-5.16,-1.84,100,
Air Temperature,26/12/2010,0.32,-3.46,3.11,100,
Air Temperature,27/12/2010,2.81,2.14,3.81,100,
Air Temperature,28/12/2010,5.46,2.57,7.65,100,
Air Temperature,29/12/2010,7.2,6.07,8.24,100,
Air Temperature,30/12/2010,5.22,3.99,6.07,100,
Air Temperature,31/12/2010,4.33,3.06,5.73,100,
Air Temperature,01/01/2011,3.623,2.357,4.599,100,
Air Temperature,02/01/2011,0.9164,-0.41,2.782,100,
Air Temperature,03/01/2011,-0.111,-1.299,1.672,100,
Air Temperature,04/01/2011,1.7375,0.416,3.938,100,
Air Temperature,05/01/2011,4.1923,2.195,6.117,100,
Air Temperature,06/01/2011,2.3006,0.747,5.193,100,
Air Temperature,07/01/2011,5.5976,0.449,8.75,100,
Air Temperature,08/01/2011,4.9949,0.846,8.28,100,
Air Temperature,09/01/2011,2.1588,0.185,5.311,100,
Air Temperature,10/01/2011,4.1322,0.125,6.184,100,
Air Temperature,11/01/2011,4.7025,1.731,6.872,100,
Air Temperature,12/01/2011,7.5557,2.855,9.77,100,
Air Temperature,13/01/2011,9.2425,8.78,9.64,100,
Air Temperature,14/01/2011,8.1401,5.952,9.31,100,
Air Temperature,15/01/2011,8.4792,7.27,9.04,100,
Air Temperature,16/01/2011,8.7208,7.85,9.97,100,
